Method,USER,PATH_ID,TARGET,RAW_PATH,RAW_GENERATED_ITEM_COUNT,EXACTLY_RESOLVED_ITEM_COUNT,RESOLVED_ITEM_COUNT,UNRESOLVED_ITEM_COUNT,UNRESOLVED_TITLES,RESOLVED_PATH,HISTORY_REUSE_COUNT,HISTORY_REUSE_RATE,HISTORY_REUSED_TITLES,RAW_TARGET_PRESENT,RESOLVED_TARGET_PRESENT,RAW_TARGET_LAST,RESOLVED_TARGET_LAST,INTRA_PATH_DUPLICATE_COUNT,INTRA_PATH_DUPLICATE_RATE,DUPLICATED_TITLES,IoI,IoR,Proxy,Coherence,EVALUATOR_VALID,FORMAL_METRIC_STATUS
LLM-IPP-style same-protocol,419,1,Clean Slate (Coup de Torchon) (1981),"[""The Usual Suspects (1995)"", ""Double Jeopardy (1999)"", ""Sixth Sense, The (1999)"", ""Vertigo (1958)"", ""Clean Slate (Coup de Torchon) (1981)""]",5,4,5,0,[],"[""Usual Suspects, The (1995)"", ""Double Jeopardy (1999)"", ""Sixth Sense, The (1999)"", ""Vertigo (1958)"", ""Clean Slate (Coup de Torchon) (1981)""]",4,1.0,"[""The Usual Suspects (1995)"", ""Double Jeopardy (1999)"", ""Sixth Sense, The (1999)"", ""Vertigo (1958)""]",True,True,True,True,0,0.0,[],-0.8400936645984522,258,0.8120590299367905,0.75,True,valid
LLM-IPP-style same-protocol,419,2,Clean Slate (Coup de Torchon) (1981),"[""American Beauty (1999)"", ""Vertigo (1958)"", ""Double Jeopardy (1999)"", ""Raiders of the Lost Ark (1981)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Clean Slate (Coup de Torchon) (1981)""]",6,6,6,0,[],"[""American Beauty (1999)"", ""Vertigo (1958)"", ""Double Jeopardy (1999)"", ""Raiders of the Lost Ark (1981)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)"", ""Clean Slate (Coup de Torchon) (1981)""]",5,1.0,"[""American Beauty (1999)"", ""Vertigo (1958)"", ""Double Jeopardy (1999)"", ""Raiders of the Lost Ark (1981)"", ""Star Wars: Episode V - The Empire Strikes Back (1980)""]",True,True,True,True,0,0.0,[],-0.5216724730157338,364,0.8707902252674102,0.6,True,valid
LLM-IPP-style same-protocol,5021,1,Drunken Master (Zui quan) (1979),"[""Apocalypse Now (1979)"", ""Platoon (1986)"", ""For Whom the Bell Tolls (1943)"", ""Last of the Mohicans, The (1992)"", ""Drunken Master (Zui quan) (1979)""]",5,5,5,0,[],"[""Apocalypse Now (1979)"", ""Platoon (1986)"", ""For Whom the Bell Tolls (1943)"", ""Last of the Mohicans, The (1992)"", ""Drunken Master (Zui quan) (1979)""]",4,1.0,"[""Apocalypse Now (1979)"", ""Platoon (1986)"", ""For Whom the Bell Tolls (1943)"", ""Last of the Mohicans, The (1992)""]",True,True,True,True,0,0.0,[],-1.147606516809315,-478,0.9989997893571854,1.0,True,valid
LLM-IPP-style same-protocol,5021,2,Drunken Master (Zui quan) (1979),"[""Apocalypse Now (1979)"", ""Platoon (1986)"", ""For Whom the Bell Tolls (1943)"", ""Last of the Mohicans, The (1992)"", ""Drunken Master (Zui quan) (1979)""]",5,5,5,0,[],"[""Apocalypse Now (1979)"", ""Platoon (1986)"", ""For Whom the Bell Tolls (1943)"", ""Last of the Mohicans, The (1992)"", ""Drunken Master (Zui quan) (1979)""]",4,1.0,"[""Apocalypse Now (1979)"", ""Platoon (1986)"", ""For Whom the Bell Tolls (1943)"", ""Last of the Mohicans, The (1992)""]",True,True,True,True,0,0.0,[],-1.147606516809315,-478,0.9989997893571854,1.0,True,valid
LLM-IPP-style same-protocol,2677,1,Jingle All the Way (1996),"[""The Fugitive (1993)"", ""Die Hard: With a Vengeance (1995)"", ""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""A Few Good Men (1992)"", ""Jingle All the Way (1996)""]",6,2,6,0,[],"[""Fugitive, The (1993)"", ""Die Hard: With a Vengeance (1995)"", ""Sixth Sense, The (1999)"", ""Silence of the Lambs, The (1991)"", ""Few Good Men, A (1992)"", ""Jingle All the Way (1996)""]",2,0.4,"[""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)""]",True,True,True,True,0,0.0,[],-1.463641240647302,169,0.9875863671302796,0.8,True,valid
LLM-IPP-style same-protocol,2677,2,Jingle All the Way (1996),"[""The Fugitive (1993)"", ""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""The Rock (1996)"", ""Jingle All the Way (1996)""]",5,1,5,0,[],"[""Fugitive, The (1993)"", ""Sixth Sense, The (1999)"", ""Silence of the Lambs, The (1991)"", ""Rock, The (1996)"", ""Jingle All the Way (1996)""]",3,0.75,"[""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""The Rock (1996)""]",True,True,True,True,0,0.0,[],-2.993289245069496,-225,0.9912454932928085,1.0,True,valid
LLM-IPP-style same-protocol,3113,1,"League of Their Own, A (1992)","[""The Breakfast Club (1985)"", ""Pretty Woman (1990)"", ""My Best Friend's Wedding (1992)"", ""The Full Monty (1997)"", ""League of Their Own, A (1992)""]",5,2,4,1,"[""My Best Friend's Wedding (1992)""]","[""Breakfast Club, The (1985)"", ""Pretty Woman (1990)"", null, ""Full Monty, The (1997)"", ""League of Their Own, A (1992)""]",0,0.0,[],True,True,True,True,0,0.0,[],,,,,False,invalid_unresolved
LLM-IPP-style same-protocol,3113,2,"League of Their Own, A (1992)","[""The Breakfast Club (1985)"", ""Pretty Woman (1990)"", ""My Stepmother Is an Alien (1998)"", ""The Sister Wives (2000)"", ""A League of Their Own (1992)""]",5,1,3,2,"[""My Stepmother Is an Alien (1998)"", ""The Sister Wives (2000)""]","[""Breakfast Club, The (1985)"", ""Pretty Woman (1990)"", null, null, ""League of Their Own, A (1992)""]",0,0.0,[],False,True,False,True,0,0.0,[],,,,,False,invalid_unresolved
LLM-IPP-style same-protocol,2249,1,Timecop (1994),"[""Akira (1988)"", ""Alien (1979)"", ""Alien: Resurrection (1997)"", ""Aliens (1986)"", ""Timecop (1994)""]",5,5,5,0,[],"[""Akira (1988)"", ""Alien (1979)"", ""Alien: Resurrection (1997)"", ""Aliens (1986)"", ""Timecop (1994)""]",4,1.0,"[""Akira (1988)"", ""Alien (1979)"", ""Alien: Resurrection (1997)"", ""Aliens (1986)""]",True,True,True,True,0,0.0,[],1.184052127378834,575,0.9900898337364197,1.0,True,valid
LLM-IPP-style same-protocol,2249,2,Timecop (1994),"[""Akira (1988)"", ""Alien (1979)"", ""Alien: Resurrection (1997)"", ""Timecop (1994)"", ""The Matrix (1999)"", ""Inception (2010)""]",6,4,5,1,"[""Inception (2010)""]","[""Akira (1988)"", ""Alien (1979)"", ""Alien: Resurrection (1997)"", ""Timecop (1994)"", ""Matrix, The (1999)"", null]",3,0.6,"[""Akira (1988)"", ""Alien (1979)"", ""Alien: Resurrection (1997)""]",True,True,False,False,0,0.0,[],,,,,False,invalid_unresolved
