Method,USER,PATH_ID,TARGET,RAW_PATH,RAW_GENERATED_ITEM_COUNT,EXACTLY_RESOLVED_ITEM_COUNT,RESOLVED_ITEM_COUNT,UNRESOLVED_ITEM_COUNT,UNRESOLVED_TITLES,RESOLVED_PATH,HISTORY_REUSE_COUNT,HISTORY_REUSE_RATE,HISTORY_REUSED_TITLES,RAW_TARGET_PRESENT,RESOLVED_TARGET_PRESENT,RAW_TARGET_LAST,RESOLVED_TARGET_LAST,INTRA_PATH_DUPLICATE_COUNT,INTRA_PATH_DUPLICATE_RATE,DUPLICATED_TITLES,IoI,IoR,Proxy,Coherence,EVALUATOR_VALID,FORMAL_METRIC_STATUS
LLM-IPP-style-Full,419,1,Clean Slate (Coup de Torchon) (1981),"[""The Godfather, The (1972)"", ""Enemy of the State (1998)"", ""Jurassic Park (1993)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""The Sixth Sense (1999)"", ""Clean Slate (Coup de Torchon) (1981)""]",6,4,6,0,[],"[""Godfather, The (1972)"", ""Enemy of the State (1998)"", ""Jurassic Park (1993)"", ""Star Wars: Episode IV - A New Hope (1977)"", ""Sixth Sense, The (1999)"", ""Clean Slate (Coup de Torchon) (1981)""]",1,0.2,"[""The Sixth Sense (1999)""]",True,True,True,True,0,0.0,[],-1.2385393706906171,-22,0.8480829656124115,0.6,True,valid
LLM-IPP-style-Full,419,2,Clean Slate (Coup de Torchon) (1981),"[""The Godfather, The (1972)"", ""Enemy of the State (1998)"", ""Braveheart (1995)"", ""Gladiator (2000)"", ""Truman Show, The (1998)"", ""Clean Slate (Coup de Torchon) (1981)""]",6,5,6,0,[],"[""Godfather, The (1972)"", ""Enemy of the State (1998)"", ""Braveheart (1995)"", ""Gladiator (2000)"", ""Truman Show, The (1998)"", ""Clean Slate (Coup de Torchon) (1981)""]",0,0.0,[],True,True,True,True,0,0.0,[],-0.6163762026211757,233,0.8135351955890655,0.8,True,valid
LLM-IPP-style-Full,5021,1,Drunken Master (Zui quan) (1979),"[""The Shining"", ""The Silence of the Lambs"", ""The Usual Suspects"", ""The Good, the Bad and the Ugly"", ""Drunken Master (Zui quan)""]",5,0,0,5,"[""The Shining"", ""The Silence of the Lambs"", ""The Usual Suspects"", ""The Good, the Bad and the Ugly"", ""Drunken Master (Zui quan)""]","[null, null, null, null, null]",0,0.0,[],False,False,False,False,0,0.0,[],,,,,False,invalid_unresolved
LLM-IPP-style-Full,5021,2,Drunken Master (Zui quan) (1979),"[""The Good, the Bad and the Ugly (1966)"", ""The Silence of the Lambs (1991)"", ""The Shining (1980)"", ""The Usual Suspects (1995)"", ""Drunken Master (Zui quan) (1979)""]",5,1,4,1,"[""The Good, the Bad and the Ugly (1966)""]","[null, ""Silence of the Lambs, The (1991)"", ""Shining, The (1980)"", ""Usual Suspects, The (1995)"", ""Drunken Master (Zui quan) (1979)""]",0,0.0,[],True,True,True,True,0,0.0,[],,,,,False,invalid_unresolved
LLM-IPP-style-Full,2677,1,Jingle All the Way (1996),"[""The Fugitive (1993)"", ""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""The Rock (1996)"", ""The Santa Clause (1994)"", ""Jingle All the Way (1996)""]",6,1,6,0,[],"[""Fugitive, The (1993)"", ""Sixth Sense, The (1999)"", ""Silence of the Lambs, The (1991)"", ""Rock, The (1996)"", ""Santa Clause, The (1994)"", ""Jingle All the Way (1996)""]",3,0.6,"[""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""The Rock (1996)""]",True,True,True,True,0,0.0,[],3.448686354310844,1483,0.8920411825180053,0.8,True,valid
LLM-IPP-style-Full,2677,2,Jingle All the Way (1996),"[""The Fugitive (1993)"", ""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""The Rock (1996)"", ""Jingle All the Way (1996)""]",5,1,5,0,[],"[""Fugitive, The (1993)"", ""Sixth Sense, The (1999)"", ""Silence of the Lambs, The (1991)"", ""Rock, The (1996)"", ""Jingle All the Way (1996)""]",3,0.75,"[""The Sixth Sense (1999)"", ""The Silence of the Lambs (1991)"", ""The Rock (1996)""]",True,True,True,True,0,0.0,[],-2.993289245069496,-225,0.9912454932928085,1.0,True,valid
LLM-IPP-style-Full,3113,1,"League of Their Own, A (1992)","[""Speed (1994)"", ""True Lies (1994)"", ""Mission: Impossible (1996)"", ""Die Hard 2 (1990)"", ""Titanic (1997)"", ""League of Their Own, A (1992)""]",6,6,6,0,[],"[""Speed (1994)"", ""True Lies (1994)"", ""Mission: Impossible (1996)"", ""Die Hard 2 (1990)"", ""Titanic (1997)"", ""League of Their Own, A (1992)""]",5,1.0,"[""Speed (1994)"", ""True Lies (1994)"", ""Mission: Impossible (1996)"", ""Die Hard 2 (1990)"", ""Titanic (1997)""]",True,True,True,True,0,0.0,[],-0.040587288357882834,9,0.9968895077705383,0.8,True,valid
LLM-IPP-style-Full,3113,2,"League of Their Own, A (1992)","[""Speed (1994)"", ""True Lies (1994)"", ""Mission: Impossible (1996)"", ""Die Hard 2 (1990)"", ""Titanic (1997)"", ""League of Their Own, A (1992)""]",6,6,6,0,[],"[""Speed (1994)"", ""True Lies (1994)"", ""Mission: Impossible (1996)"", ""Die Hard 2 (1990)"", ""Titanic (1997)"", ""League of Their Own, A (1992)""]",5,1.0,"[""Speed (1994)"", ""True Lies (1994)"", ""Mission: Impossible (1996)"", ""Die Hard 2 (1990)"", ""Titanic (1997)""]",True,True,True,True,0,0.0,[],-0.040587288357882834,9,0.9968895077705383,0.8,True,valid
LLM-IPP-style-Full,2249,1,Timecop (1994),"[""Alien (1979)"", ""Akira (1988)"", ""The Abyss (1989)"", ""The Matrix (1999)"", ""Timecop (1994)""]",5,3,5,0,[],"[""Alien (1979)"", ""Akira (1988)"", ""Abyss, The (1989)"", ""Matrix, The (1999)"", ""Timecop (1994)""]",2,0.5,"[""Alien (1979)"", ""Akira (1988)""]",True,True,True,True,0,0.0,[],2.6310417930813284,1095,0.9651508778333664,1.0,True,valid
LLM-IPP-style-Full,2249,2,Timecop (1994),"[""Alien (1979)"", ""Akira (1988)"", ""Aliens (1986)"", ""U-571 (2000)"", ""Air Force One (1997)"", ""Timecop (1994)""]",6,6,6,0,[],"[""Alien (1979)"", ""Akira (1988)"", ""Aliens (1986)"", ""U-571 (2000)"", ""Air Force One (1997)"", ""Timecop (1994)""]",3,0.6,"[""Alien (1979)"", ""Akira (1988)"", ""Aliens (1986)""]",True,True,True,True,0,0.0,[],-0.328644082635714,-77,0.9327450871467591,1.0,True,valid
